"data;genre;subgenre_0;subgenre_1"
"ACTION;ACTION;ACTION;"
"ACTION, ÉMISSIONS D';ACTION;ACTION;"
"ACTION, FILMS D';ACTION;ACTION;"
"CATASTROPHE;ACTION;CATASTROPHE;"
"CATASTROPHES, FILMS;ACTION;CATASTROPHE;"
"ESPIONNAGE, ÉMISSIONS D';ACTION;ESPIONNAGE;"
"ESPIONNAGE, FILMS D';ACTION;ESPIONNAGE;"
"ÉROTIQUES, ÉMISSIONS;AMOUR;SEXUALITE;ÉROTIQUE"
"ÉROTIQUES, FILMS;AMOUR;SEXUALITE;ÉROTIQUE"
"ÉROTIQUES, VIDÉOS;AMOUR;SEXUALITE;ÉROTIQUE"
"ÉROTISME;AMOUR;SEXUALITE;ÉROTIQUE"
"PORNOGRAPHIE;AMOUR;SEXUALITE;PORNOGRAPHIE"
"ROMANTIQUES, ÉMISSIONS;AMOUR;ROMANTIQUE;"
"ROMANTIQUES, FILMS;AMOUR;ROMANTIQUE;"
"ROMANTIQUES, VIDÉOS;AMOUR;ROMANTIQUE;"
"ANIMATION;ANIMATION;ANIMATION;"
"ANIMATION (TV);ANIMATION;ANIMATION;"
"ANIMATION (VIDÉO);ANIMATION;ANIMATION;"
"ANIMATION ET PRISE DE VUES RÉELLES;ANIMATION;ANIMATION;"
"ANIMATION SANS CAMÉRA;ANIMATION;ANIMATION;"
"ANIMATION, FILMS D';ANIMATION;ANIMATION;"
"ANIMATION, TECHNIQUES MULTIPLES;ANIMATION;ANIMATION;"
"HOLLYWOOD CARTOONS;ANIMATION;ANIMATION;"
"OBJETS, ANIMATION D';ANIMATION;ANIMATION;"
"DESSINS ANIMÉS;ANIMATION;DESSINS ANIMÉS;"
"DESSINS ANIMÉS (TV);ANIMATION;DESSINS ANIMÉS;"
"AMATEUR;AUTRES;INDÉPENDANTS;AMATEUR"
"AMATEURS, FILMS;AUTRES;INDÉPENDANTS;AMATEUR"
"AMATEURS, VIDÉOS;AUTRES;INDÉPENDANTS;AMATEUR"
"ÉTUDIANTS, FILMS;AUTRES;INDÉPENDANTS;ÉTUDIANTS"
"PRODUCTION ÉTUDIANTE;AUTRES;INDÉPENDANTS;ÉTUDIANTS"
"INDÉPENDANTE, VIDÉO;AUTRES;INDÉPENDANTS;INDÉPENDANTS"
"INDÉPENDANTS, FILMS;AUTRES;INDÉPENDANTS;INDÉPENDANTS"
"PRODUCTION INDÉPENDANTE;AUTRES;INDÉPENDANTS;INDÉPENDANTS"
"ART;AUTRES;ART;ART"
"ART, ÉMISSIONS SUR L';AUTRES;ART;ART"
"COLLAGE;AUTRES;ART;COLLAGE"
"COLLAGE, FILMS DE;AUTRES;ART;COLLAGE"
"FICTION, VIDÉOS DE;AUTRES;ART;FICTION"
"EXPÉRIMENTAL;AUTRES;ART;EXPÉRIMENTAL"
"EXPÉRIMENTAUX, FILMS;AUTRES;ART;EXPÉRIMENTAL"
"EXPÉRIMENTAUX, VIDÉOS;AUTRES;ART;EXPÉRIMENTAL"
"ÉDUCATIF;AUTRES;INSTITUTIONNEL;ÉDUCATIF"
"ÉDUCATIFS, FILMS;AUTRES;INSTITUTIONNEL;ÉDUCATIF"
"ÉDUCATIFS, VIDÉOS;AUTRES;INSTITUTIONNEL;ÉDUCATIF"
"ÉDUCATIVES, ÉMISSIONS;AUTRES;INSTITUTIONNEL;ÉDUCATIF"
"POLITIQUE;AUTRES;INSTITUTIONNEL;POLITIQUE"
"POLITIQUES, ÉMISSIONS;AUTRES;INSTITUTIONNEL;POLITIQUE"
"POLITIQUES, FILMS;AUTRES;INSTITUTIONNEL;POLITIQUE"
"POLITIQUES, VIDÉOS;AUTRES;INSTITUTIONNEL;POLITIQUE"
"PROPAGANDE;AUTRES;INSTITUTIONNEL;PROPAGANDE"
"RELIGIEUSES, ÉMISSIONS;AUTRES;INSTITUTIONNEL;RELIGION"
"RELIGIEUX, FILMS;AUTRES;INSTITUTIONNEL;RELIGION"
"RELIGIEUX, VIDÉOS;AUTRES;INSTITUTIONNEL;RELIGION"
"RELIGION;AUTRES;INSTITUTIONNEL;RELIGION"
"FAMILLE;AUTRES;FAMILLE;FAMILLE"
"PRODUCTION POUR LA FAMILLE;AUTRES;FAMILLE;FAMILLE"
"ENFANTS, ÉMISSIONS POUR LES;AUTRES;FAMILLE;ENFANTS"
"ENFANTS, FILMS POUR LES;AUTRES;FAMILLE;ENFANTS"
"ENFANTS, VIDÉOS POUR LES;AUTRES;FAMILLE;ENFANTS"
"PRODUCTION POUR LES ENFANTS;AUTRES;FAMILLE;ENFANTS"
"JEUNES, ÉMISSIONS POUR LES;AUTRES;FAMILLE;JEUNES"
"JEUNES, FILMS POUR LES;AUTRES;FAMILLE;JEUNES"
"PRODUCTION POUR LES JEUNES;AUTRES;FAMILLE;JEUNES"
"ARTS MARTIAUX;AUTRES;ARTS MARTIAUX;"
"MUET;AUTRES;MUET;"
"SKETCHES;AUTRES;SKETCHES;"
"SKETCHES, ÉMISSIONS À;AUTRES;SKETCHES;"
"SKETCHES, FILMS À;AUTRES;SKETCHES;"
"SKETCHES, VIDÉOS À;AUTRES;SKETCHES;"
"SPORT;AUTRES;SPORT;"
"SPORTS, FILMS DE;AUTRES;SPORT;"
"SPORTS, VIDÉOS DE;AUTRES;SPORT;"
"(vide);AUTRES;AUTRES;"
"AVENTURE;AVENTURE;AVENTURE;"
"AVENTURE, ÉMISSIONS D';AVENTURE;AVENTURE;"
"AVENTURE, FILMS D';AVENTURE;AVENTURE;"
"CAPE ET D'ÉPÉE;AVENTURE;CAPE ET D'ÉPÉE;"
"CAPE ET D'ÉPÉE, FILMS DE;AVENTURE;CAPE ET D'ÉPÉE;"
"PIRATE;AVENTURE;PIRATE;"
"PIRATES, FILMS DE;AVENTURE;PIRATE;"
"ROAD MOVIE;AVENTURE;ROAD MOVIE;"
"ROAD MOVIES;AVENTURE;ROAD MOVIE;"
"ROAD MOVIES (TV);AVENTURE;ROAD MOVIE;"
"WESTERN;AVENTURE;WESTERN;"
"WESTERNS;AVENTURE;WESTERN;"
"WESTERNS (TV);AVENTURE;WESTERN;"
"WESTERNS (VIDÉO);AVENTURE;WESTERN;"
"COMÉDIE;COMÉDIE;;"
"COMÉDIE, ÉMISSIONS DE;COMÉDIE;;"
"COMÉDIES;COMÉDIE;;"
"COMÉDIES (VIDÉO);COMÉDIE;;"
"HUMOUR, ÉMISSIONS D';COMÉDIE;;"
"CRIME;CRIME;CRIME;"
"CRIME, DRAMATIQUES DE (TV);CRIME;CRIME;"
"CRIME, FILMS DE;CRIME;CRIME;"
"GANGSTERS;CRIME;GANGSTERS;"
"GANGSTERS, ÉMISSIONS DE;CRIME;GANGSTERS;"
"POLICIER;CRIME;POLICIER;"
"POLICIÈRES, ÉMISSIONS;CRIME;POLICIER;"
"POLICIERS, FILMS;CRIME;POLICIER;"
"POLICIERS, VIDÉOS;CRIME;POLICIER;"
"THRILLER;CRIME;THRILLER;"
"THRILLERS;CRIME;THRILLER;"
"THRILLERS (TV);CRIME;THRILLER;"
"THRILLERS (VIDÉO);CRIME;THRILLER;"
"ACTUALITÉS;DOCUMENTAIRE;ACTUALITÉS;"
"ACTUALITÉS (TV);DOCUMENTAIRE;ACTUALITÉS;"
"ACTUALITÉS, FILMS D';DOCUMENTAIRE;ACTUALITÉS;"
"DOCUMENTAIRE;DOCUMENTAIRE;DOCUMENTAIRE;"
"DOCUMENTAIRE DRAMATISÉ;DOCUMENTAIRE;DOCUMENTAIRE;"
"DOCUMENTAIRES;DOCUMENTAIRE;DOCUMENTAIRE;"
"DOCUMENTAIRES (TV);DOCUMENTAIRE;DOCUMENTAIRE;"
"DOCUMENTAIRES (VIDÉO);DOCUMENTAIRE;DOCUMENTAIRE;"
"DOCUMENTAIRES DRAMATISÉS;DOCUMENTAIRE;DOCUMENTAIRE;"
"DOCUMENTAIRES DRAMATISÉS (TV);DOCUMENTAIRE;DOCUMENTAIRE;"
"SÉRIE DOCUMENTAIRE;DOCUMENTAIRE;DOCUMENTAIRE;"
"SÉRIES DOCUMENTAIRES;DOCUMENTAIRE;DOCUMENTAIRE;"
"SÉRIES DOCUMENTAIRES (TV);DOCUMENTAIRE;DOCUMENTAIRE;"
"NATURE;DOCUMENTAIRE;NATURE;"
"NATURE, ÉMISSIONS DE;DOCUMENTAIRE;NATURE;"
"NATURE, FILMS DE;DOCUMENTAIRE;NATURE;"
"NATURE, VIDÉOS DE;DOCUMENTAIRE;NATURE;"
"DRAMATIQUE;DRAME;DRAMATIQUE;"
"DRAME;DRAME;DRAME;"
"BIOGRAPHIE;HISTORIQUE;BIOGRAPHIE;"
"BIOGRAPHIQUES, ÉMISSIONS;HISTORIQUE;BIOGRAPHIE;"
"BIOGRAPHIQUES, FILMS;HISTORIQUE;BIOGRAPHIE;"
"BIOGRAPHIQUES, VIDÉOS;HISTORIQUE;BIOGRAPHIE;"
"GUERRE;HISTORIQUE;GUERRE;"
"GUERRE, ÉMISSIONS DE;HISTORIQUE;GUERRE;"
"GUERRE, FILMS DE;HISTORIQUE;GUERRE;"
"GUERRE, VIDÉOS DE;HISTORIQUE;GUERRE;"
"HISTORIQUES, ÉMISSIONS;HISTORIQUE;HISTORIQUE;"
"HISTORIQUES, VIDÉOS;HISTORIQUE;HISTORIQUE;"
"PÉPLUM;HISTORIQUE;PÉPLUM;"
"COMÉDIE MUSICALE;MUSICAL;COMÉDIE MUSICALE;"
"DANSE;MUSICAL;DANSE;"
"DANSE, ÉMISSIONS DE;MUSICAL;DANSE;"
"DANSE, FILMS DE;MUSICAL;DANSE;"
"DANSE, VIDÉOS DE;MUSICAL;DANSE;"
"MUSICAUX, FILMS;MUSICAL;MUSICAUX;"
"MUSICAUX, VIDÉOS;MUSICAL;MUSICAUX;"
"OPÉRA;MUSICAL;OPÉRA;"
"FANTASTIQUE;SF;FANTASTIQUE;FANTASTIQUE"
"FANTASTIQUES, ÉMISSIONS;SF;FANTASTIQUE;FANTASTIQUE"
"FANTASTIQUES, FILMS;SF;FANTASTIQUE;FANTASTIQUE"
"FANTASTIQUES, VIDÉOS;SF;FANTASTIQUE;FANTASTIQUE"
"VAMPIRE;SF;FANTASTIQUE;VAMPIRE"
"VAMPIRES, FILMS DE;SF;FANTASTIQUE;VAMPIRE"
"VAMPIRES, VIDÉOS DE;SF;FANTASTIQUE;VAMPIRE"
"HORREUR;SF;HORREUR;"
"HORREUR, ÉMISSIONS D';SF;HORREUR;"
"HORREUR, FILMS D';SF;HORREUR;"
"HORREUR, VIDÉOS D';SF;HORREUR;"
"SCIENCE-FICTION;SF;SCIENCE-FICTION;"
"SCIENCE-FICTION, ÉMISSIONS DE;SF;SCIENCE-FICTION;"
"SCIENCE-FICTION, FILMS DE;SF;SCIENCE-FICTION;"
"SCIENCE-FICTION, VIDÉOS DE;SF;SCIENCE-FICTION;"